Frequency (Hz)	Level (dB)
4780.371094	-50.969753
4823.437500	-49.772202
4866.503906	-47.660862
4909.570312	-48.414642
4952.636719	-49.575745
4995.703125	-47.322998
5038.769531	-46.381588
5081.835938	-46.468662
5124.902344	-48.094563
5167.968750	-49.014557
5211.035156	-48.889824
5254.101562	-49.162296
5297.167969	-50.207413
5340.234375	-49.836029
5383.300781	-49.397194
5426.367188	-48.946491
5469.433594	-49.281574
5512.500000	-50.126648
5555.566406	-48.314495
5598.632812	-46.412518
5641.699219	-47.600086
5684.765625	-48.564846
5727.832031	-49.729008
5770.898438	-49.725731
5813.964844	-49.415222
5857.031250	-48.980415
5900.097656	-48.833378
5943.164062	-49.062458
5986.230469	-49.363041
6029.296875	-47.175320
6072.363281	-47.146656
6115.429688	-47.521729
6158.496094	-46.980701
6201.562500	-49.890396
6244.628906	-50.187054
6287.695312	-49.428890
6330.761719	-48.451172
6373.828125	-49.427853
6416.894531	-49.200577
6459.960938	-49.539108
6503.027344	-50.536545
6546.093750	-50.232132
6589.160156	-49.798714
6632.226562	-49.750854
6675.292969	-49.446545
6718.359375	-49.449085
6761.425781	-49.776436
6804.492188	-49.972374
6847.558594	-50.880264
6890.625000	-50.993797
6933.691406	-50.790169
6976.757812	-50.209915
7019.824219	-50.594238
7062.890625	-51.028572
7105.957031	-50.268021
7149.023438	-50.948330
7192.089844	-51.784000
7235.156250	-52.150753
7278.222656	-52.963860
7321.289062	-53.341908
7364.355469	-53.561283
7407.421875	-52.610039
7450.488281	-53.472343
7493.554688	-54.410973
7536.621094	-53.292530
7579.687500	-53.358627
7622.753906	-54.728584
7665.820312	-54.943443
7708.886719	-54.790939
7751.953125	-55.337410
7795.019531	-55.294525
7838.085938	-54.941998
7881.152344	-55.020538
7924.218750	-54.781990
7967.285156	-54.939484
8010.351562	-53.988586
8053.417969	-53.753048
8096.484375	-54.526432
8139.550781	-54.684322
8182.617188	-53.912117
8225.683594	-53.498947
8268.750000	-53.262997
8311.816406	-53.591183
8354.882812	-54.331520
8397.949219	-54.455673
8441.015625	-54.287727
8484.082031	-53.550968
8527.148438	-52.830830
8570.214844	-52.794579
8613.281250	-52.771618
8656.347656	-52.720890
8699.414062	-52.835968
8742.480469	-52.935093
8785.546875	-53.333336
8828.613281	-53.568874
8871.679688	-53.745144
8914.746094	-53.402134
8957.812500	-52.752693
9000.878906	-52.403759
9043.945312	-52.585918
9087.011719	-52.979599
9130.078125	-53.136250
9173.144531	-53.151939
9216.210938	-52.984127
9259.277344	-53.295677
9302.343750	-53.357330
9345.410156	-53.397087
9388.476562	-53.209923
9431.542969	-53.382542
9474.609375	-53.222916
9517.675781	-53.526138
9560.742188	-54.610958
9603.808594	-54.215977
9646.875000	-53.505127
9689.941406	-53.308563
9733.007812	-53.536327
9776.074219	-53.651073
9819.140625	-53.540646
9862.207031	-53.688644
9905.273438	-54.048439
9948.339844	-54.539677
9991.406250	-54.257645
10034.472656	-53.620537
10077.539062	-53.699993
10120.605469	-53.874821
10163.671875	-54.046322
10206.738281	-54.151695
10249.804688	-54.066223
10292.871094	-54.126724
10335.937500	-54.432182
10379.003906	-54.428486
10422.070312	-54.329254
10465.136719	-55.075630
10508.203125	-55.226650
10551.269531	-55.289478
10594.335938	-55.685295
10637.402344	-55.784756
10680.468750	-55.915424
10723.535156	-56.281029
10766.601562	-56.403297
10809.667969	-56.490658
10852.734375	-56.944893
10895.800781	-56.948544
10938.867188	-57.268360
10981.933594	-57.811340
11025.000000	-58.050247
11068.066406	-58.682652
11111.132812	-58.408081
11154.199219	-58.078060
11197.265625	-58.300129
11240.332031	-58.352833
11283.398438	-58.761772
11326.464844	-58.956078
11369.531250	-58.153355
11412.597656	-58.530823
11455.664062	-59.388676
11498.730469	-59.644741
